AX,AY,AZ
-0.11,-0.26,0.98
-0.11,-0.26,0.98
-0.07,-0.26,1.00
-0.05,-0.26,1.00
-0.05,-0.27,0.99
-0.05,-0.26,0.97
-0.07,-0.26,1.00
-0.12,-0.25,1.02
-0.12,-0.25,1.07
-0.10,-0.24,1.14
-0.08,-0.25,1.25
-0.05,-0.25,1.39
-0.07,-0.24,1.43
-0.01,-0.21,1.48
0.08,-0.21,1.56
0.18,-0.21,1.61
0.18,-0.20,1.58
0.14,-0.20,1.54
0.10,-0.19,1.56
0.07,-0.19,1.64
0.09,-0.20,1.68
0.13,-0.20,1.70
0.16,-0.17,1.65
0.16,-0.17,1.63
0.12,-0.17,1.65
0.19,-0.18,1.63
0.23,-0.20,1.62
0.22,-0.20,1.52
0.22,-0.21,1.42
0.15,-0.23,1.40
0.01,-0.22,1.34
0.03,-0.24,1.24
0.09,-0.26,1.19
0.03,-0.25,1.03
-0.01,-0.26,0.86
-0.02,-0.29,0.74
-0.09,-0.30,0.63
-0.11,-0.34,0.48
-0.13,-0.36,0.38
-0.09,-0.39,0.30
-0.06,-0.42,0.20
-0.06,-0.44,0.19
-0.07,-0.49,0.33
-0.08,-0.50,0.29
-0.05,-0.49,0.13
-0.06,-0.52,0.12
-0.16,-0.55,0.15
-0.15,-0.55,0.12
-0.09,-0.56,0.07
-0.08,-0.58,0.00
-0.09,-0.58,-0.15
-0.15,-0.61,-0.21
-0.18,-0.65,-0.09
-0.17,-0.66,-0.13
-0.12,-0.66,-0.18
-0.10,-0.66,-0.18
-0.08,-0.67,-0.14
-0.05,-0.68,-0.15
-0.12,-0.69,-0.23
-0.14,-0.70,-0.36
-0.15,-0.70,-0.34
-0.16,-0.70,-0.36
-0.16,-0.70,-0.29
-0.15,-0.70,-0.22
-0.05,-0.68,-0.29
0.00,-0.67,-0.42
-0.01,-0.65,-0.53
-0.10,-0.64,-0.64
-0.18,-0.64,-0.68
-0.24,-0.64,-0.72
-0.26,-0.62,-0.75
-0.21,-0.61,-0.78
-0.19,-0.58,-0.86
-0.18,-0.57,-0.93
-0.25,-0.56,-1.03
-0.29,-0.56,-1.12
-0.35,-0.56,-1.13
-0.34,-0.56,-1.13
-0.37,-0.57,-1.09
-0.40,-0.58,-0.99
-0.37,-0.59,-1.00
-0.35,-0.60,-1.02
-0.37,-0.60,-1.04
-0.36,-0.59,-1.11
-0.34,-0.58,-1.07
-0.35,-0.59,-1.01
-0.33,-0.59,-1.02
-0.29,-0.61,-1.00
-0.27,-0.61,-0.96
-0.25,-0.62,-0.92
-0.25,-0.63,-0.87
-0.19,-0.63,-0.84
-0.15,-0.62,-0.87
-0.12,-0.62,-0.90
-0.09,-0.60,-0.94
-0.10,-0.60,-0.93
-0.15,-0.60,-0.90
-0.18,-0.60,-0.86
-0.25,-0.61,-0.79
-0.34,-0.63,-0.73
-0.38,-0.64,-0.71
-0.36,-0.65,-0.64
-0.34,-0.65,-0.59
-0.26,-0.64,-0.60
-0.17,-0.63,-0.65
-0.11,-0.60,-0.62
-0.14,-0.57,-0.54
-0.25,-0.57,-0.39
-0.39,-0.57,-0.25
-0.40,-0.57,-0.14
-0.34,-0.57,-0.09
-0.24,-0.56,-0.10
-0.14,-0.55,-0.15
-0.02,-0.53,-0.13
0.13,-0.51,-0.06
0.26,-0.49,0.07
0.23,-0.47,0.22
-0.05,-0.49,0.43
-0.28,-0.53,0.67
-0.37,-0.56,0.71
-0.41,-0.57,0.69
-0.28,-0.55,0.60
-0.18,-0.57,0.56
-0.01,-0.53,0.64
0.07,-0.56,0.67
0.15,-0.55,0.71
0.13,-0.54,0.76
0.02,-0.55,0.81
-0.17,-0.55,0.95
-0.27,-0.56,0.99
-0.31,-0.57,0.97
-0.20,-0.54,0.78
-0.19,-0.58,0.91
-0.03,-0.55,0.77
-0.06,-0.51,0.96
0.08,-0.53,0.96
0.00,-0.52,0.83
-0.24,-0.47,0.94
-0.41,-0.47,1.06
-0.35,-0.46,1.11
-0.19,-0.43,1.08
-0.14,-0.39,1.04
-0.08,-0.37,1.10
0.04,-0.37,1.21
0.16,-0.36,1.31
0.25,-0.37,1.33
0.24,-0.36,1.27
0.12,-0.36,1.26
0.01,-0.35,1.23
-0.10,-0.37,1.21
-0.10,-0.45,1.23
-0.07,-0.35,1.16
-0.04,-0.35,1.20
0.02,-0.35,1.20
0.06,-0.34,1.20
0.07,-0.31,1.10
0.06,-0.30,1.06
0.01,-0.31,1.12
-0.03,-0.26,1.13
-0.15,-0.39,1.65
-0.27,-0.17,3.64
0.74,-0.34,3.30
-0.00,-0.28,0.31
-0.45,-0.30,-0.01
0.03,-0.32,0.62
0.13,-0.29,0.51
0.13,-0.29,0.45
0.09,-0.28,0.62
0.10,-0.29,0.88
-0.02,-0.31,1.18
-0.18,-0.34,1.39
-0.20,-0.33,1.34
-0.14,-0.33,1.14
-0.11,-0.33,0.97
-0.06,-0.32,0.87
0.01,-0.33,0.88
0.01,-0.32,0.91
-0.01,-0.31,0.92
-0.03,-0.31,0.96
-0.06,-0.30,0.99
-0.07,-0.30,1.02
-0.08,-0.30,1.02
-0.08,-0.30,0.94
-0.06,-0.29,0.97
-0.03,-0.30,0.98
-0.02,-0.29,0.92
-0.04,-0.29,0.92
-0.03,-0.30,0.98
-0.03,-0.31,1.01
-0.04,-0.31,1.00
-0.04,-0.31,0.95
-0.02,-0.31,0.96
-0.02,-0.31,0.97
-0.04,-0.31,0.97
-0.02,-0.31,0.98
-0.02,-0.30,0.95
-0.05,-0.32,0.96
-0.04,-0.31,0.96
0.00,-0.31,0.96
0.00,-0.31,1.00
-0.01,-0.31,0.99
-0.02,-0.31,0.98
-0.02,-0.31,0.98
-0.04,-0.31,0.93
