AX,AY,AZ
0.17,-0.16,-0.95
0.15,-0.16,-0.92
0.16,-0.16,-0.91
0.19,-0.17,-0.91
0.19,-0.16,-0.91
0.19,-0.15,-0.92
0.21,-0.15,-0.92
0.21,-0.14,-0.95
0.22,-0.14,-0.96
0.23,-0.14,-0.93
0.22,-0.13,-0.93
0.21,-0.13,-0.95
0.21,-0.13,-0.93
0.22,-0.14,-0.90
0.21,-0.14,-0.90
0.19,-0.12,-0.94
0.21,-0.12,-0.94
0.28,-0.12,-0.93
0.27,-0.12,-0.96
0.26,-0.12,-0.99
0.27,-0.12,-0.96
0.27,-0.13,-0.93
0.23,-0.12,-0.95
0.24,-0.10,-0.96
0.29,-0.09,-0.96
0.36,-0.07,-1.01
0.44,-0.05,-1.06
0.57,-0.03,-1.13
0.74,-0.02,-1.19
0.88,0.00,-1.24
1.04,0.02,-1.27
1.22,0.04,-1.34
1.37,0.05,-1.43
1.40,0.06,-1.44
1.30,0.08,-1.36
1.18,0.09,-1.28
1.06,0.10,-1.27
0.95,0.10,-1.22
0.78,0.11,-1.21
0.64,0.09,-1.18
0.46,0.06,-1.05
0.16,0.01,-0.92
-0.14,-0.05,-0.80
-0.46,-0.12,-0.64
-0.89,-0.14,-0.52
-1.34,-0.13,-0.43
-1.75,-0.11,-0.28
-2.18,-0.12,-0.17
-2.61,-0.10,-0.09
-2.87,-0.08,-0.03
-2.83,-0.06,0.01
-2.47,-0.05,0.09
-1.93,-0.06,0.16
-1.51,-0.07,0.20
-1.26,-0.05,0.25
-1.10,0.01,0.17
-0.87,0.13,-0.18
-0.35,0.22,-0.61
0.36,0.27,-1.00
1.07,0.27,-1.33
1.70,0.20,-1.55
2.14,0.13,-1.71
2.41,0.07,-1.86
2.51,0.02,-1.90
2.48,-0.01,-1.87
2.43,-0.02,-1.82
2.40,-0.07,-1.72
2.22,-0.00,-1.61
2.05,0.02,-1.45
1.88,0.04,-1.30
1.59,0.08,-1.22
1.29,0.09,-1.11
1.05,0.09,-0.93
0.69,0.09,-0.89
0.41,0.09,-0.92
0.20,0.04,-0.88
-0.09,0.04,-0.83
-0.44,0.02,-0.81
-0.83,-0.01,-0.79
-1.21,-0.04,-0.77
-1.49,-0.08,-0.74
-1.72,-0.11,-0.68
-1.92,-0.13,-0.61
-2.09,-0.13,-0.57
-2.18,-0.12,-0.52
-2.11,-0.13,-0.41
-1.93,-0.12,-0.30
-1.65,-0.12,-0.30
-1.38,-0.12,-0.29
-1.13,-0.11,-0.24
-0.87,-0.10,-0.30
-0.58,-0.06,-0.44
-0.18,0.00,-0.65
0.40,0.06,-0.92
1.05,0.03,-1.11
1.57,-0.02,-1.21
1.90,-0.08,-1.31
2.04,-0.13,-1.45
2.11,-0.13,-1.55
2.19,-0.15,-1.58
2.27,-0.12,-1.54
2.26,-0.19,-1.47
2.09,-0.19,-1.35
1.87,-0.10,-1.25
1.66,-0.14,-1.09
1.29,-0.10,-0.99
1.00,-0.04,-1.01
0.80,-0.02,-0.95
0.52,-0.01,-0.93
0.18,0.00,-1.00
-0.17,-0.01,-1.00
-0.52,-0.03,-0.98
-0.82,-0.06,-0.92
-1.05,-0.09,-0.83
-1.27,-0.11,-0.70
-1.55,-0.11,-0.58
-1.83,-0.11,-0.52
-2.04,-0.12,-0.48
-2.13,-0.14,-0.44
-2.04,-0.14,-0.38
-1.77,-0.16,-0.29
-1.51,-0.17,-0.23
-1.34,-0.13,-0.25
-1.15,-0.12,-0.27
-1.08,-0.09,-0.28
